Paragraph Number,Paragraph Style,First Line Indent (cm),Hanging Indent (cm),Font Name,Font Size,Character Count,Word Count,Tab Count,Equals Sign Count,Is Italic,Is Bold,Text,Numbering Type,List Value,Within Table,Paragraph Range
26,t,0.0,3.0,ZapfEllipt BT,9.5,942,153,0,0,No,No,"Strategy implementation refers to the execution of plans and strategies so as to achieve long term objectives of the organization. In other words, strategy implementation is the process by which organization converts its selected strategy into action plan and activities through the proper use of resources so as to achieve its strategic objectives. It involves the techniques and process through which the company develops, utilize and integrate its structure, culture, resource, people and control system to follow the strategies so as to gain competitive advantage in the market. It is the means of converting strategic vision of the managers or entrepreneurs about long term objectives of the organization into reality. Since, strategic management focuses on long term objectives and activities of the organization so strategy implementation needs changes in managerial decisions based on changing environment of the society and business.",0,0,False,"[701, 1650]"
27,Def,0.0,3.19,Eurostile,9.0,142,28,1,0,Yes,Yes,"Strategy implementation is the sum total of the activities and choices required for the execution of a strategic plan. 	- Wheelen, and Hunger",0,0,False,"[1650, 1793]"
28,Def,0.0,3.19,Eurostile,9.0,210,39,1,0,Yes,Yes,"Strategy implementation involves all the processes and outcomes which accrue to a strategic decision once authorization has been to go ahead and put the decision into practice.	   - Miller, Wilson, and Hickson",0,0,False,"[1793, 2004]"
29,Def,0.0,3.19,Eurostile,9.0,224,35,1,0,Yes,Yes,"Strategy implementation involves a series of interventions concerning organizational structures, key personnel actions, and control systems designed to control performance with respect to desired ends.	-Lawrence and William",0,0,False,"[2004, 2229]"
30,Def,0.0,3.19,Eurostile,9.0,222,34,1,0,Yes,Yes,"Strategy implementation is concerned with the translation of strategy into organizational action through organizational structure and design, resource planning and the management of strategic change. 	-Johnson and Scholes",0,0,False,"[2229, 2452]"
31,t,0.0,3.0,ZapfEllipt BT,9.5,1031,158,0,0,No,No,"Strategic implementation is a process that puts plans and strategies into action to achieve desired goals. For effective implementation of strategic plan it is essential to form organization structure, manage resources, direct key employees’ actions and maintain control over their performance. These all activities are supportive for effective functioning of the organizational activities and proper use of resources which ensure competitive strength of the organization. Successful implementation of strategy of an organization depends on the extent to which these components are effectively integrated to provide competencies in the market. For this purpose, strategic implementation should address who, where, when and how the desired goals of the organization can be achieved. Strategy implementation should focus on the entire organization and its activities. It involves continuous environmental scanning, SWOT analysis, and identifying strategic issues based on the changing environment so as to achieve desired objectives.",0,0,False,"[2452, 3488]"
32,H1,0.0,0.0,Impact,15.0,34,5,0,0,No,No,Process of Strategy Implementation,0,0,False,"[3488, 3525]"
33,t,0.0,3.0,,9999999.0,595,94,0,0,No,No,"Strategy implementation is the action part of strategic management which bring strategic plan into execution to achieve desired goals. It is considered as a crucial part of strategic management because it is the means of effective utilization of organizational resources. It involves various activities such as determination of annual objectives, formulation of polices, allocation of resources, providing instruction and guidance, and leading and controlling the activities of various levels of the organization. However, the following are the common steps of strategy implementation process: ",0,0,False,"[3525, 4121]"
34,xtt,0.0,3.25,ZapfEllipt BT,9.0,34,5,0,0,No,Yes,Process of Strategy Implementation,0,0,False,"[4121, 4158]"
35,xt,0.0,3.25,ZapfEllipt BT,9.0,28,6,1,0,No,No,1.	Operationalizing strategy,0,0,False,"[4158, 4187]"
36,xt,0.0,3.25,ZapfEllipt BT,9.0,37,7,1,0,No,No,2.	Designing organizational structure,0,0,False,"[4187, 4225]"
37,xt,0.0,3.25,ZapfEllipt BT,9.0,30,7,1,0,No,No,3.	Preparing resource planning,0,0,False,"[4225, 4256]"
38,xt,0.0,3.25,ZapfEllipt BT,9.0,33,7,1,0,No,No,4.	Establishing management system,0,0,False,"[4256, 4290]"
39,xt,0.0,3.25,ZapfEllipt BT,9.0,35,8,1,0,No,No,5.	Strategic evaluation and control,0,0,False,"[4290, 4326]"
40,tt,-0.65,3.65,ZapfEllipt BT,9.5,466,72,1,0,No,Yes,"1.	Operationalizing strategy: The initial part of strategy implementation is the operationalizing the strategic plan into action. After formulation of strategic plan it is communicated to all the employees who are responsible for implementation of strategy. The major components of operationalizing strategy involve setting annual objectives, formulation of functional strategies, formulation of business policies, and development of programs, budget and procedures.",0,0,False,"[4326, 4794]"
41,tt,-0.65,4.3,,9.5,165,29,1,0,Yes,No,	Annual objectives involve business goals to be achieved within a year. Annual objectives determined should be linked with long term objectives of the organization.,0,0,False,"[4794, 4961]"
42,tt,-0.65,4.3,,9.5,260,39,1,0,No,No,"	Formulation of functional strategies is started after determination of annual objectives. Formulation of functional strategies involves production strategy, marketing strategy, finance strategy, human resource strategy, and research and development strategy.",0,0,False,"[4961, 5223]"
43,tt,-0.65,4.3,,9.5,256,42,1,0,Yes,No,"	Formulation of business policies involves development of rules, regulation, and system in the organizational activities. They provide guidelines for decision making based on issues and problems that may create in the course of organizational functioning.",0,0,False,"[5223, 5481]"
44,tt,-0.65,4.3,,9.5,260,47,1,0,Yes,No,"	Development of program, budget, and procedure is the important part of operationalising strategy. Program integrates all the activities of action plans, budget is the financial plan, and procedure defines the steps to be completed for accomplishment of task.",0,0,False,"[5481, 5749]"
45,tt,-0.65,3.65,ZapfEllipt BT,9.5,867,139,1,0,No,Yes,"2.	Designing organizational structure:  A formal organizational structure should be designed for systemization of all the activities of the business. It is essential for effective implementation of strategies. Organizational structure involves division of work, hierarchy of authority, span of management, and delegation of authority and responsibility. It specifies the process of assignment of jobs to the subordinates and reporting to the managers after accomplishment of jobs. There are various types of organizational structure such as entrepreneurial structure, functional structure, multi-divisional structure, matrix structure, network structure, team-based structure etc. Organizational structure should be developed based on nature and size of business and also on the basis of business strategy. It supports for systematic implementation of strategic plan.",0,0,False,"[5749, 6620]"
46,tt,-0.65,3.65,ZapfEllipt BT,9.5,561,90,1,0,No,Yes,"3.	Preparing resource planning:  The resource planning is considered as an important component of strategy implementation. The availability and allocation of sufficient resources to different business units is essential for effective implementation of strategic plan. The resources involve human resources, capital, machines and equipment, material supply, information, and technology. It is essential to manage resources based on scope created by changing environment of business. It supports to grab business opportunities for the benefit of the organization.",0,0,False,"[6620, 7186]"
47,tt,-0.65,3.65,ZapfEllipt BT,9.5,788,126,1,0,No,Yes,"4.	Establishing management system: An effective management system is essential for effective implementation of strategic plan. All the activities of a business organization are guided by its management system. Managers need to take initiation on each and every activity of the organization. It is essential to provide proper instruction, guidance and information to the subordinates for their effective performance. There must be the system of team work, open communication, motivation to subordinates, friendly supervision and coordination over the activities of employees. Managers should evaluate the performance and maintain control over the activities of subordinates if any deficiency is found. The effective implementation of strategy depends on leadership quality of the managers.",0,0,False,"[7186, 7978]"
48,tt,-0.65,3.65,ZapfEllipt BT,9.5,894,137,1,0,No,Yes,"5.	Strategic evaluation and control: Strategic evaluation and control is the process of determining effectiveness of the strategy in achieving the organizational objectives and taking corrective measures if it is required. It involves determining whether deadlines have been completed, whether the implementation steps and processes are working correctly and whether the expected results have been achieved or not. The main objective of strategic evaluation is to get feedback about the effectiveness of strategy in achieving organizational objectives. Therefore, in strategic management, there is the provision of strategic evaluation and control based on organizational requirement. The provision of evaluation and control in strategic management helps to develop the feeling of commitment and accountability among the managers and subordinates to accomplish assigned job in an effective way.",0,0,False,"[7978, 8874]"
49,H1,0.0,0.0,Impact,15.0,47,6,0,0,No,No,Strategy Formulation Vs Strategy Implementation,0,0,False,"[8874, 8922]"
50,t,0.0,3.0,ZapfEllipt BT,9.5,549,78,0,0,No,No,"Strategy formulation and strategy implementation are the two most important components of strategic management. Strategy formulation means crafting a combination of strategies and selecting the best one to achieve the organizational objectives and thereby reaching the vision of the organization. Strategy implementation refers to the execution of the selected strategy for the realization of organizational objectives. But there exist some fundamental differences between strategy formulation and strategy implementation, which are mentioned below:",0,0,False,"[8922, 9473]"
51,lt,0.0,0.13,ZapfEllipt BT,9.5,21,4,0,0,No,Yes,"Basis of Difference",0,0,True,"[9473, 9493]"
52,lt,0.0,-0.03,ZapfEllipt BT,9.5,22,3,0,0,No,Yes,"Strategy Formulation",0,0,True,"[9493, 9514]"
53,lt,0.0,-0.03,ZapfEllipt BT,9.5,25,3,0,0,No,Yes,"Strategy Implementation",0,0,True,"[9514, 9538]"
54,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[9538, 9539]"
55,Normal,0.0,0.0,ZapfEllipt BT,9.5,12,4,0,0,No,No,"1. Concept",0,0,True,"[9539, 9550]"
56,Normal,0.0,0.0,ZapfEllipt BT,9.5,119,18,0,0,No,No,"Strategy formulation refers to the preparation strategic plan that helps for the achievement of organizational goals.",0,0,True,"[9550, 9668]"
57,Normal,0.0,0.0,ZapfEllipt BT,9.5,77,12,0,0,No,No,"Strategy Implementation means to bring the formulated strategy into action.",0,0,True,"[9668, 9744]"
58,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[9744, 9745]"
59,Normal,0.0,0.0,ZapfEllipt BT,9.5,11,4,0,0,No,No,"2. Nature",0,0,True,"[9745, 9755]"
60,Normal,0.0,0.0,ZapfEllipt BT,9.5,44,8,0,0,No,No,"Strategy formulation is logical in nature.",0,0,True,"[9755, 9798]"
61,Normal,0.0,0.0,ZapfEllipt BT,9.5,51,8,0,0,No,No,"Strategy implementation is operational in nature.",0,0,True,"[9798, 9848]"
62,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[9848, 9849]"
63,Normal,0.0,0.0,ZapfEllipt BT,9.5,11,4,0,0,No,No,"3. Forces",0,0,True,"[9849, 9859]"
64,lt,0.0,-0.03,ZapfEllipt BT,9.5,63,11,0,0,No,No,"Strategy formulation is placing the forces before the action.",0,0,True,"[9859, 9921]"
65,lt,0.0,-0.03,ZapfEllipt BT,9.5,63,10,0,0,No,No,"Strategy implementation is managing forces during the action.",0,0,True,"[9921, 9983]"
66,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[9983, 9984]"
67,Normal,0.0,0.0,ZapfEllipt BT,9.5,13,4,0,0,No,No,"4. Activity",0,0,True,"[9984, 9996]"
68,lt,0.0,-0.03,ZapfEllipt BT,9.5,89,14,0,0,No,No,"Strategy formulation is an entrepreneurial activity based on strategic decision-making.",0,0,True,"[9996, 10084]"
69,lt,0.0,-0.03,ZapfEllipt BT,9.5,95,13,0,0,No,No,"Strategic implementation is mainly an administrative activity based on operational decisions.",0,0,True,"[10084, 10178]"
70,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[10178, 10179]"
71,Normal,0.0,0.0,ZapfEllipt BT,9.5,14,4,0,0,No,No,"5. Emphasize",0,0,True,"[10179, 10192]"
72,lt,0.0,-0.03,ZapfEllipt BT,9.5,66,8,0,0,No,No,"Strategy formulation emphasizes on organizational effectiveness.",0,0,True,"[10192, 10257]"
73,lt,0.0,-0.03,ZapfEllipt BT,9.5,66,8,0,0,No,No,"Strategy implementation emphasizes on organizational efficiency.",0,0,True,"[10257, 10322]"
74,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[10322, 10323]"
75,Normal,0.0,0.0,ZapfEllipt BT,9.5,17,4,0,0,No,No,"6. Coordination",0,0,True,"[10323, 10339]"
76,lt,0.0,-0.03,ZapfEllipt BT,9.5,68,11,0,0,No,No,"Strategy formulation requires co-ordination among few individuals.",0,0,True,"[10339, 10406]"
77,lt,0.0,-0.03,ZapfEllipt BT,9.5,72,11,0,0,No,No,"Strategy implementation requires co-ordination among many individuals.",0,0,True,"[10406, 10477]"
78,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[10477, 10478]"
79,Normal,0.0,0.0,ZapfEllipt BT,9.5,11,4,0,0,No,No,"7. Follow",0,0,True,"[10478, 10488]"
80,lt,0.0,-0.03,ZapfEllipt BT,9.5,57,7,0,0,No,No,"Strategic formulation precedes strategy implementation.",0,0,True,"[10488, 10544]"
81,lt,0.0,-0.03,ZapfEllipt BT,9.5,55,7,0,0,No,No,"Strategy implementation follows Strategy Formulation.",0,0,True,"[10544, 10598]"
82,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[10598, 10599]"
83,Normal,0.0,0.0,ZapfEllipt BT,9.5,10,4,0,0,No,No,"8. Skill",0,0,True,"[10599, 10608]"
84,lt,0.0,-0.03,ZapfEllipt BT,9.5,48,7,0,0,No,No,"Strategic formulation needs analytical skills.",0,0,True,"[10608, 10655]"
85,lt,0.0,-0.03,ZapfEllipt BT,9.5,51,7,0,0,No,No,"Strategic implementation needs leadership skills.",0,0,True,"[10655, 10705]"
86,Normal,0.0,0.0,Calibri,11.0,1,1,0,0,No,No,,0,0,True,"[10705, 10706]"
87,H1,0.0,0.0,Impact,15.0,51,6,0,0,No,No,Operationalization of Strategies for Implementation,0,0,False,"[10706, 10759]"
88,t,0.0,3.0,ZapfEllipt BT,9.5,511,72,0,0,No,No,"Operationalization of the strategy explains the relations between strategy formulation and its implementation. It is based on the overall concept and strategic goals along with consideration of financial and regulatory framework. It includes many activities such as establishing annual objectives, allocating resources, developing functional strategies, communicating information, and developing guidelines and policies. The following are the common components of operationalizing strategies for implementation:",0,0,False,"[10759, 11273]"
89,xtt,0.0,3.25,ZapfEllipt BT,9.0,51,6,0,0,No,Yes,Operationalization of Strategies for Implementation,0,0,False,"[11273, 11326]"
90,xt,0.0,3.25,ZapfEllipt BT,9.0,21,7,1,0,No,No,1.	 Annual objectives,0,0,False,"[11326, 11348]"
91,xt,0.0,3.25,ZapfEllipt BT,9.0,24,7,1,0,No,No,2.	 Allocating resources,0,0,False,"[11348, 11373]"
92,xt,0.0,3.25,ZapfEllipt BT,9.0,25,7,1,0,No,No,3.	 Functional strategies,0,0,False,"[11373, 11399]"
93,xt,0.0,3.25,ZapfEllipt BT,9.0,24,6,1,0,No,No,a. 	Marketing strategies,0,0,False,"[11399, 11424]"
94,xt,0.0,3.25,ZapfEllipt BT,9.0,39,8,1,0,No,No,b. 	Production and operation strategies,0,0,False,"[11424, 11464]"
95,xt,0.0,3.25,ZapfEllipt BT,9.0,30,7,1,0,No,No,c. 	Human resources strategies,0,0,False,"[11464, 11495]"
96,xt,0.0,3.25,ZapfEllipt BT,9.0,39,8,1,0,No,No,d. 	Research and development strategies,0,0,False,"[11495, 11535]"
97,xt,0.0,3.25,ZapfEllipt BT,9.0,34,8,1,0,No,No,e. 	Finance and account strategies,0,0,False,"[11535, 11570]"
98,xt,0.0,3.25,ZapfEllipt BT,9.0,33,7,1,0,No,No,f. 	Management information system,0,0,False,"[11570, 11604]"
99,xt,0.0,3.25,ZapfEllipt BT,9.0,22,6,1,0,No,No,g. 	General management,0,0,False,"[11604, 11627]"
100,xt,0.0,3.25,ZapfEllipt BT,9.0,33,8,1,0,No,No,4.	Business policies and programs,0,0,False,"[11627, 11661]"
101,xt,0.0,3.25,ZapfEllipt BT,9.0,40,8,1,0,No,No,5.	Procedures and organization structure,0,0,False,"[11661, 11702]"
102,xt,0.0,3.25,ZapfEllipt BT,9.0,28,6,1,0,No,No,6.	Communicating information,0,0,False,"[11702, 11731]"
103,tt,-0.65,3.65,ZapfEllipt BT,9.5,586,100,1,0,No,Yes,"1.	Annual objectives: Annual objectives are set for a fiscal year by considering internal resources of the organization and opportunities in external environment. They serve as guidelines for action, direction and integrating efforts and activities of employees. Annual objectives are based on long term objectives of the organization. They establish priorities of activities to be performed in day-to-day activity. They are specific in nature and can be achievable through the effective use of resources. Gradually, they contribute to accomplish corporate strategy of the organization.",0,0,False,"[11731, 12322]"
104,tt,-0.65,3.65,ZapfEllipt BT,9.5,556,91,1,0,No,Yes,"2.	Allocating resources: Resource allocation is major activity of management that supports for implementation of strategy and plans. Top management has to decide for allocation of resources to corporate office, divisions, departments and strategic business units. For this purpose, it is necessary to prepare budget for allocation of resources. When employees have necessary resources, they accomplish assigned jobs in an effective way. Therefore, availability of sufficient resources will be supportive for effective implementation of strategies and plan.",0,0,False,"[12322, 12883]"
105,tt,-0.65,3.65,ZapfEllipt BT,9.5,328,53,1,0,No,Yes,3.	Functional strategies: Functional strategies are the part of business level strategies which provide directions to key functional areas of business. The primary role of functional strategy is to support for gradual achievement of company’s overall business strategy. The following are the components of functional strategies:,0,0,False,"[12883, 13214]"
106,tt,-0.65,4.3,ZapfEllipt BT,9.5,459,77,1,0,No,Yes,a. 	Marketing strategies: Marketing strategies refer to activities of an organization that are undertaken to promote the buying and selling of products and services. They involve business activities that are designed to satisfy consumer needs and wants through the exchange process. They include all the activities starting from product plan to sales after service to the customers. The following are the major areas should be covered by marketing strategies:,0,0,False,"[13214, 13675]"
107,tt,-0.65,4.95,,9.5,15,5,1,0,No,No,	Marketing mix,0,0,False,"[13675, 13692]"
108,tt,-0.65,4.95,,9.5,27,7,1,0,No,No,	Product and service lines,0,0,False,"[13692, 13721]"
109,tt,-0.65,4.95,,9.5,29,7,1,0,No,No,	Pricing strategy and policy,0,0,False,"[13721, 13752]"
110,tt,-0.65,4.95,,9.5,50,9,1,0,No,No,	Efficiency and effectiveness of market promotion,0,0,False,"[13752, 13804]"
111,tt,-0.65,4.95,,9.5,30,8,1,0,No,No,	Market size and market share,0,0,False,"[13804, 13836]"
112,tt,-0.65,4.95,,9.5,27,8,1,0,No,No,	Growth rate of the market,0,0,False,"[13836, 13864]"
113,tt,-0.65,4.95,,9.5,33,7,1,0,No,No,	Market trends and profitability,0,0,False,"[13864, 13899]"
114,tt,-0.65,4.95,,9.5,29,8,1,0,No,No,	Stage of product life cycle,0,0,False,"[13899, 13930]"
115,tt,-0.65,4.95,,9.5,35,7,1,0,No,No,	Distribution channels and network,0,0,False,"[13930, 13967]"
116,tt,-0.65,4.95,,9.5,40,8,1,0,No,No,	Industry innovation and cost structure,0,0,False,"[13967, 14008]"
117,tt,-0.65,4.95,,9.5,19,5,1,0,No,No,	Digital marketing,0,0,False,"[14008, 14029]"
118,tt,-0.65,4.3,ZapfEllipt BT,9.5,578,91,1,0,No,Yes,"b. 	Production and operation strategies: Production and operation strategies focus on all the activities and resources required for conversion of inputs into outputs. Sufficiency of resources is essential for effective operation of production activities of the organization. The availability of quality inputs is necessary for getting quality outputs. When quality resources are processed through the use of modern technology, it facilitates for producing quality products and services. The following are the major areas should be covered by production and operation strategies:",0,0,False,"[14029, 14609]"
119,tt,-0.65,4.95,,9.5,64,12,1,0,No,No,"	Specification of plant location, layout and production process",0,0,False,"[14609, 14676]"
120,tt,-0.65,4.95,,9.5,47,9,1,0,No,No,	Defining product capacity and its utilization,0,0,False,"[14676, 14725]"
121,tt,-0.65,4.95,,9.5,83,15,1,0,No,No,"	Technology use in production such as automation, robotic and computer programming",0,0,False,"[14725, 14810]"
122,tt,-0.65,4.95,,9.5,38,9,1,0,No,No,"	Product design, patent and copyright",0,0,False,"[14810, 14850]"
123,tt,-0.65,4.95,,9.5,29,6,1,0,No,No,	Inventory management system,0,0,False,"[14850, 14881]"
124,tt,-0.65,4.95,,9.5,41,8,1,0,No,No,	Relationship with suppliers of material,0,0,False,"[14881, 14923]"
125,tt,-0.65,4.95,,9.5,50,11,1,0,No,No,	Economies of scale through best use of resources,0,0,False,"[14923, 14975]"
126,tt,-0.65,4.95,,9.5,48,9,1,0,No,No,	Continuous improvement of products and quality,0,0,False,"[14975, 15025]"
127,tt,-0.65,4.95,,9.5,50,10,1,0,No,No,	Repair and maintenance of machines and equipment,0,0,False,"[15025, 15077]"
128,tt,-0.65,4.3,ZapfEllipt BT,9.5,711,116,1,0,No,Yes,"c. 	Human resources strategies: Human resources are the dynamic resources of the organization and they represent all the employees working in the organization. The successful functioning of an organization depends on attitude, image, efficiency and activities of employees. They are the means of obtaining competitive advantages through the best use of capital and physical resources. Human resource strategy focuses on proper acquisition, development, utilization and maintenance of competent workforce in the organization. It emphasizes for the best use of human capability through the promotion of team work and participation. The following are the major areas should be covered by human resource strategies:",0,0,False,"[15077, 15790]"
129,tt,-0.65,4.95,,9.5,63,11,1,0,No,No,"	Recruitment, selection and socialization process of employees",0,0,False,"[15790, 15855]"
130,tt,-0.65,4.95,,9.5,52,9,1,0,No,No,	Organizational climate and its working environment,0,0,False,"[15855, 15909]"
131,tt,-0.65,4.95,,9.5,53,9,1,0,No,No,	Training and development opportunities to employees,0,0,False,"[15909, 15964]"
132,tt,-0.65,4.95,,9.5,50,11,1,0,No,No,"	Attitude, value and corporate image of employees",0,0,False,"[15964, 16016]"
133,tt,-0.65,4.95,,9.5,43,9,1,0,No,No,	Reward and incentives system to employees,0,0,False,"[16016, 16061]"
134,tt,-0.65,4.95,,9.5,60,13,1,0,No,No,"	Skills, efficiency and work-related knowledge of employees",0,0,False,"[16061, 16123]"
135,tt,-0.65,4.95,,9.5,67,11,1,0,No,No,	Performance evaluation and controlling system of the organization,0,0,False,"[16123, 16192]"
136,tt,-0.65,4.95,,9.5,47,9,1,0,No,No,"	Employee discipline, absenteeism and turnover",0,0,False,"[16192, 16241]"
137,tt,-0.65,4.95,,9.5,55,10,1,0,No,No,	Overall human resource management system and policies,0,0,False,"[16241, 16297]"
138,tt,-0.65,4.3,ZapfEllipt BT,9.5,805,136,1,0,No,Yes,"d. 	Research and development strategies: Research and development work is considered as an important part of competitive strength of the organization. It is essential for generation of new concept, idea, knowledge and technology in terms of product or service. It is taken as a significant resource for obtaining competitive advantages in the market and win over the competitors. R & D strategies need to focus on research infrastructure, expert manpower, research materials, research environment and incentives. When any knowledge is generated in terms of product or service it is considered as an important resource of the organization. It supports for sustaining business activities in competitive environment. The following are the major areas should be covered by research and development strategies:",0,0,False,"[16297, 17104]"
139,tt,-0.65,4.95,,9.5,65,13,1,0,No,No,	Part of total earning invested in research and development work,0,0,False,"[17104, 17171]"
140,tt,-0.65,4.95,,9.5,60,10,1,0,No,No,	Development of infrastructure facilities for research work,0,0,False,"[17171, 17233]"
141,tt,-0.65,4.95,,9.5,62,12,1,0,No,No,	Policy defining the tendency and continuity of research work,0,0,False,"[17233, 17297]"
142,tt,-0.65,4.95,,9.5,63,12,1,0,No,No,	Strategy of hiring experts and professionals in research work,0,0,False,"[17297, 17362]"
143,tt,-0.65,4.95,,9.5,61,13,1,0,No,No,	Innovation of new technology in terms of product or service,0,0,False,"[17362, 17424]"
144,tt,-0.65,4.95,,9.5,73,16,1,0,No,No,	Ability to forecast trend of technology change in own area of business.,0,0,False,"[17424, 17499]"
145,tt,-0.65,4.3,ZapfEllipt BT,9.5,601,96,1,0,No,Yes,"e. 	Finance and account strategies: Financial and accounting strategies emphasize on making availability of sufficient funds for establishment and operation of business activities of the organization. The sources of fund may be own capital or loan borrowed. Similarly, accounting is essential for recording, classifying, reporting and analyzing monetary information for decision making. Finance and accounting systems guides the managers for proper management and use of funds for improving business activities. The following are the major areas should be covered by finance and accounting strategies:",0,0,False,"[17499, 18102]"
146,tt,-0.65,4.95,,9.5,39,9,1,0,No,No,	Proper management of sources of funds,0,0,False,"[18102, 18143]"
147,tt,-0.65,4.95,,9.5,35,7,1,0,No,No,	Capital budgeting and controlling,0,0,False,"[18143, 18180]"
148,tt,-0.65,4.95,,9.5,58,12,1,0,No,No,"	Management of capital structure, equity and debt capital",0,0,False,"[18180, 18240]"
149,tt,-0.65,4.95,,9.5,83,14,1,0,No,No,	Good relation with shareholders and financial institutions for management of fund,0,0,False,"[18240, 18324]"
150,tt,-0.65,4.95,,9.5,63,10,1,0,No,No,	Fulfillment of international accounting and auditing standard,0,0,False,"[18324, 18389]"
151,tt,-0.65,4.95,,9.5,36,9,1,0,No,No,	Tax planning and assessment of tax,0,0,False,"[18389, 18427]"
152,tt,-0.65,4.95,,9.5,42,8,1,0,No,No,	Maintain consistency in dividend payment,0,0,False,"[18427, 18470]"
153,tt,-0.65,4.95,,9.5,52,9,1,0,No,No,	Efficiency to implement alternative financial plan,0,0,False,"[18470, 18523]"
154,tt,-0.65,4.95,,9.5,80,14,1,0,No,No,	Use of information technology and software for handling finance and accounting,0,0,False,"[18523, 18606]"
155,tt,-0.65,4.3,ZapfEllipt BT,9.5,724,116,1,0,No,Yes,"f. 	Management information system: Management information system is a formal method of collecting information in a summarized form in order to facilitate decision making. It is designed to provide information needed by management in order to plan, control and evaluate the functions of the organization. It provides analytical and systematic information necessary to all levels of managers for taking the right decision at the right time. Managers need information to monitor organizational performance and control organizational activities.  Generally, MIS involves some process to convert past, present and anticipated relevant data into information for managerial decision making. The following are the components of MIS:",0,0,False,"[18606, 19370]"
156,tt,-0.65,4.95,,9.5,24,5,1,0,No,No,	Assembling information,0,0,False,"[19370, 19396]"
157,tt,-0.65,4.95,,9.5,24,5,1,0,No,No,	Processing information,0,0,False,"[19396, 19421]"
158,tt,-0.65,4.95,,9.5,22,5,1,0,No,No,	Analysis information,0,0,False,"[19421, 19444]"
